treatment	dpi	mean	sd	n	l95	u95
active ASO 2	201	27.6454545454545	4.01007821279427	11	25.2756497608034	30.0152593301057
active ASO 2	203	27.7090909090909	4.11544761732051	11	25.2770167856011	30.1411650325807
active ASO 2	205	27.8363636363636	4.0829579295586	11	25.4234896913802	30.2492375813471
active ASO 2	207	27.9363636363636	4.05469424920615	11	25.5401924591011	30.3325348136262
active ASO 2	209	28.1181818181818	4.3236138083363	11	25.5630893371204	30.6732742992433
active ASO 2	211	27.7909090909091	4.29940799307406	11	25.250121332544	30.3316968492742
active ASO 2	213	27.9545454545455	4.10739908856289	11	25.5272277076017	30.3818632014892
active ASO 2	215	27.9636363636364	4.27487373550909	11	25.4373474249651	30.4899253023077
active ASO 2	217	28.1	4.39454206943113	11	25.5029915952109	30.6970084047891
active ASO 2	219	28.2090909090909	4.1599169572131	11	25.7507370850926	30.6674447330892
active ASO 2	221	28.3	4.30441633674067	11	25.7562524996662	30.8437475003338
active ASO 2	223	28.1	4.35798118398875	11	25.5245976977991	30.6754023022009
active ASO 2	225	27.1636363636364	4.39392142107087	11	24.5669947385896	29.7602779886831
active ASO 2	231	28.0727272727273	3.4508233536624	11	26.0334209897716	30.1120335556829
active ASO 2	233	28.12	3.81307691445577	10	25.7566304431549	30.4833695568451
active ASO 2	235	28.0818181818182	3.62872379269026	11	25.9373794577409	30.2262569058955
active ASO 2	237	27.9363636363636	3.24415558420762	11	26.0191902004244	29.8535370723029
active ASO 2	239	28.2181818181818	3.0046025300589	11	26.4425751906126	29.9937884457511
active ASO 2	241	27.9090909090909	3.14307319210181	11	26.0516533495473	29.7665284686345
active ASO 2	243	27.6363636363636	3.19820972647909	11	25.7463424672137	29.5263848055135
active ASO 2	245	27.6454545454546	3.06736487440397	11	25.8327577425739	29.4581513483352
active ASO 2	247	27.5272727272727	3.15629241645666	11	25.6620231053545	29.392522349191
active ASO 2	249	27.0454545454546	2.85284546947907	11	25.3595306096391	28.73137848127
active ASO 2	251	27.0363636363636	3.06472599991344	11	25.2252263086508	28.8475009640764
active ASO 2	253	26.6454545454545	2.61853532966948	11	25.0979990536314	28.1929100372777
active ASO 2	255	28.2333333333333	2.45831920899897	3	25.4514832694769	31.0151833971897
active ASO 2	257	26.3363636363636	2.56408764564425	11	24.8210846696029	27.8516426031244
active ASO 2	259	26.8909090909091	2.36915788644596	11	25.4908262503848	28.2909919314334
active ASO 2	261	26.6454545454545	2.03045001729352	11	25.4455352644228	27.8453738264863
active ASO 2	263	26.6454545454545	2.08488063752515	11	25.413368823418	27.8775402674911
active ASO 2	265	26.4181818181818	2.15351720764808	11	25.1455344752371	27.6908291611265
active ASO 2	267	26.7	2.37907545067406	11	25.29405625355	28.10594374645
active ASO 2	269	26.1181818181818	2.35194310382636	11	24.7282722640759	27.5080913722878
active ASO 2	271	26.6090909090909	2.23939927009658	11	25.2856905105433	27.9324913076385
active ASO 2	273	24.9125	1.47787250561648	8	23.8883866029584	25.9366133970416
active ASO 2	275	26.6363636363636	1.78340838131524	11	25.5824366327597	27.6902906399676
active ASO 2	277	26.5181818181818	1.66001095286638	11	25.5371780347332	27.4991856016304
active ASO 2	279	26.3636363636364	1.60391566316482	11	25.4157827779836	27.3114899492891
active ASO 2	281	26.2636363636364	1.35814043991977	11	25.4610266533117	27.066246073961
active ASO 2	283	24.7272727272727	1.45608441313745	11	23.8667818275941	25.5877636269514
active ASO 2	285	25.5818181818182	1.22785844609074	11	24.8562002097955	26.3074361538409
active ASO 2	287	25.9272727272727	1.64078695088114	11	24.9576296030101	26.8969158515353
active ASO 2	289	25.06	1.3785660827267	10	24.2055558896114	25.9144441103886
active ASO 2	291	25.08	1.74279469052821	10	23.999804659641	26.160195340359
active ASO 2	293	24.4	2.22810332894245	10	23.0190072491943	25.7809927508057
active ASO 2	295	24.1555555555556	3.13253535938188	9	22.1089657874261	26.202145323685
active ASO 2	297	24.9125	1.47787250561648	8	23.8883866029584	25.9366133970416
active ASO 2	299	23.9625	1.83376077268235	8	22.6917686161112	25.2332313838888
active ASO 2	301	22.95	2.06179533416874	6	21.3002201358969	24.5997798641031
control ASO	-13	20.2333333333333	1.00302572552283	12	19.6658181041513	20.8008485625154
control ASO	126	23.4454545454545	2.40805466564347	11	22.0223851773469	24.8685239135622
control ASO	139	24.0909090909091	2.53671226017243	11	22.591807943141	25.5900102386772
control ASO	143	24.5	2.03322404077859	11	23.2984413758486	25.7015586241514
control ASO	147	24.0636363636364	2.28134728933266	11	22.7154462698715	25.4118264574012
control ASO	155	22.3636363636364	1.56733705837176	11	21.437399352039	23.2898733752338
